CR_Lv4_Name,QA_Score,QA_Audits,Feedback_CNT,Satisfied_CNT,CSAT_Pct,Contacts,Recontact_Volume,Recontact_Rate,QA_Status,CSAT_Status,RC_Status,Risk_Flags
store promotions doubts,95.38461538461539,26.0,41.0,18.0,43.9,279.0,32.0,11.47,green,red,red,2
refund status and conditions,98.44444444444444,45.0,3582.0,2401.0,67.03,18484.0,2901.0,15.69,green,red,red,2
after sales user fraud (under anti fraud review),,,475.0,29.0,6.11,3146.0,895.0,28.45,na,red,red,2
User disagrees with cancellation charge/debt,91.35593220338983,59.0,5992.0,4041.0,67.44,50902.0,6599.0,12.96,green,red,red,2
user request order status or delay information,,,9918.0,6729.0,67.85,76911.0,13014.0,16.92,na,red,red,2
store registration,80.0,5.0,3.0,2.0,66.67,120.0,77.0,64.17,amber,red,red,2
order status & delays,97.33333333333333,45.0,5096.0,3296.0,64.68,39706.0,7680.0,19.34,green,red,red,2
system instabilities,100.0,1.0,28.0,8.0,28.57,564.0,136.0,24.11,green,red,red,2
membership program benefits,94.6938775510204,49.0,109.0,47.0,43.12,644.0,86.0,13.35,green,red,red,2
membership program renewal charge,95.43478260869566,92.0,248.0,71.0,28.63,1886.0,231.0,12.25,green,red,red,2
refund failed,100.0,5.0,36.0,27.0,75.0,102.0,16.0,15.69,green,red,red,2
placing an order information,96.52173913043478,46.0,142.0,72.0,50.7,1880.0,259.0,13.78,green,red,red,2
Duplicated charge,94.32835820895522,67.0,58.0,41.0,70.69,2657.0,238.0,8.96,green,red,amber,1
Order appears as completed but customer haven't receive it - market place,47.5,4.0,,,,,,,red,na,na,1
Order appears as completed but customer haven't receive it - full service,68.16326530612245,49.0,,,,,,,red,na,na,1
Other,,,566.0,149.0,26.33,,,,na,red,na,1
Courier overcharged me,92.0,90.0,962.0,718.0,74.64,4635.0,411.0,8.87,green,red,amber,1
Courier picked up order incorrectly,0.0,1.0,,,,,,,red,na,na,1
Driver or store request to cancel,97.5,4.0,14.0,10.0,71.43,110.0,1.0,0.91,green,red,green,1
Bank Card Stolen (under antifraud review),94.24242424242425,66.0,,,,1580.0,204.0,12.91,green,na,red,1
issues while paying to courier,,,96.0,29.0,30.21,716.0,20.0,2.79,na,red,green,1
update phone number,,,1.0,0.0,0.0,,,,na,red,na,1
payment methods available,90.37037037037037,27.0,47.0,23.0,48.94,838.0,35.0,4.18,green,red,green,1
modify or add address,92.66666666666667,15.0,15.0,5.0,33.33,287.0,3.0,1.05,green,red,green,1
order appears as completed but customer haven't receive it - full service,96.62921348314607,89.0,948.0,738.0,77.85,12158.0,485.0,3.99,green,red,green,1
order location information,90.0,1.0,1.0,0.0,0.0,9.0,0.0,0.0,green,red,green,1
order invoice issues,98.0,10.0,8.0,3.0,37.5,2204.0,165.0,7.49,green,red,amber,1
referral coupon information,80.0,5.0,6.0,2.0,33.33,33.0,0.0,0.0,amber,red,green,1
settle a pending offline payment,98.57142857142857,14.0,15.0,6.0,40.0,291.0,6.0,2.06,green,red,green,1
