Channel,LOB,Country,Requester,CR_Lv4,Evaluado,Supervisor,Tenure,QA_Score,Duration,Week
Phone,Delivery,CO,Customer,Payment methods available,Agent 1,Supervisor 1,Tenure (De 3 a 6 Meses),100.0,126.0,W19
Phone,Delivery,MX,Customer,Courier picked up order incorrectly,Agent 2,Supervisor 2,New hire,0.0,101.0,W19
Phone,Delivery,MX,Customer,Refund status and conditions,Agent 3,Supervisor 3,Tenure (De 3 a 6 Meses),90.0,66.0,W19
Phone,Delivery,CO,Customer,User disagrees with cancellation charge/debt,Agent 4,Supervisor 4,Tenure (De 6 a 12 Meses),90.0,68.0,W19
Phone,Delivery,MX,Customer,Refund status and conditions,Agent 5,Supervisor 5,Tenure (De 6 a 12 Meses),90.0,40.0,W19
Phone,Delivery,MX,Customer,Placing an order information,Agent 6,Supervisor 6,Tenure (De 6 a 12 Meses),90.0,51.0,W19
Phone,Delivery,MX,Customer,Order appears as completed but customer haven't receive it - full service,Agent 7,Supervisor 7,Tenure (De 6 a 12 Meses),100.0,63.0,W19
Phone,Delivery,CO,Customer,Cancel the order,Agent 8,Supervisor 8,Tenure (De 30 a 90 días),100.0,39.0,W19
Phone,Delivery,MX,Customer,Other business line,Agent 9,Supervisor 9,Tenure (De 6 a 12 Meses),100.0,64.0,W19
Phone,Delivery,MX,Customer,Order appears as completed but customer haven't receive it - full service,Agent 10,Supervisor 4,Tenure (De 6 a 12 Meses),100.0,111.0,W19
Phone,Delivery,MX,Customer,Rate another user,Agent 11,Supervisor 9,Tenure (De 6 a 12 Meses),100.0,8.0,W19
Phone,Delivery,MX,Customer,Order appears as completed but customer haven't receive it - full service,Agent 12,Supervisor 7,Tenure (De 3 a 6 Meses),90.0,58.0,W19
Phone,Delivery,MX,Customer,Cancel the order,Agent 13,Supervisor 10,Tenure (De 30 a 90 días),100.0,62.0,W19
Phone,Delivery,CO,Customer,Cancel the order,Agent 14,Supervisor 11,Tenure (Mas de 1 año),100.0,79.0,W19
Phone,Delivery,MX,Customer,Membership program renewal charge,Agent 15,Supervisor 12,Tenure (Mas de 1 año),90.0,77.0,W19
Phone,Delivery,MX,Customer,Order appears as completed but customer haven't receive it - full service,Agent 16,Supervisor 10,Tenure (De 30 a 90 días),90.0,8.0,W19
Phone,Delivery,MX,Customer,Refund status and conditions,Agent 17,Supervisor 1,Tenure (De 6 a 12 Meses),100.0,68.0,W19
Phone,Delivery,MX,Customer,Store refuses to deliver,Agent 18,Supervisor 4,Tenure (De 6 a 12 Meses),100.0,61.0,W19
Phone,Delivery,MX,Customer,Order is active but customer already received it,Agent 19,Supervisor 7,Tenure (De 6 a 12 Meses),100.0,76.0,W19
Phone,Delivery,MX,Customer,Refund status and conditions,Agent 10,Supervisor 4,Tenure (De 6 a 12 Meses),0.0,56.0,W19
Phone,Delivery,MX,Customer,Courier overcharged me,Agent 20,Supervisor 10,Tenure (De 30 a 90 días),90.0,58.0,W19
Phone,Delivery,MX,Customer,After sales user fraud (under anti fraud review),Agent 21,Supervisor 9,Tenure (De 6 a 12 Meses),0.0,81.0,W19
Phone,Delivery,MX,Customer,Invalid contact,Agent 22,Supervisor 11,Tenure (Mas de 1 año),0.0,68.0,W19
Phone,Delivery,MX,Customer,Membership program renewal charge,Agent 23,Supervisor 9,Tenure (De 6 a 12 Meses),100.0,72.0,W19
Phone,Delivery,MX,Customer,Cancel the order,Agent 18,Supervisor 4,Tenure (De 6 a 12 Meses),100.0,64.0,W19
Phone,Delivery,MX,Customer,Cancel the order,Agent 24,Supervisor 3,Tenure (De 3 a 6 Meses),100.0,68.0,W19
Phone,Delivery,CO,Customer,User disagrees with cancellation charge/debt,Agent 4,Supervisor 4,Tenure (De 6 a 12 Meses),100.0,55.0,W19
Phone,Delivery,CR,Customer,Robbery,Agent 25,Supervisor 9,Tenure (De 3 a 6 Meses),90.0,57.0,W19
