CR Lv4,Channel,Business Type Name,Country Code,open_question,CSAT_Pct,Feedback CNT
Damaged order,LIVE CHAT,Full Service,CO,No me dieron solución,0.0,1
inedible order,LIVE CHAT,Food,MX,Aún no me dan solución,0.0,1
user request order status or delay information,LIVE CHAT,Food,MX,Siguen sin resolver mi problema,0.0,1
user request order status or delay information,LIVE CHAT,Food,MX,Other,0.0,1
user request order status or delay information,PHONE,Full Service,CO,Other,0.0,1
user request order status or delay information,LIVE CHAT,Market Place,MX,Other,0.0,1
terms and conditions,LIVE CHAT,Food,MX,Other,0.0,1
user request order status or delay information,LIVE CHAT,Food,MX,Other,0.0,1
user request order status or delay information,LIVE CHAT,Food,MX,"Solo me dijo que ""esperara"" y no me dio ninguna información real o solución y su respuesta fue ""Confiemos en que llegue"" asi despues de no haber recibido respuesta del repartidor.",0.0,1
User disagrees with cancellation charge/debt,LIVE CHAT,Full Service,PE,Other,0.0,1
user request order status or delay information,LIVE CHAT,Food,MX,"El soporte super lento, no dio solución al problema, muy mal servicio",0.0,1
user request order status or delay information,LIVE CHAT,Full Service,CO,Other,0.0,1
user request order status or delay information,PHONE,Food,MX,Other,0.0,1
wrong order,PHONE,Food,MX,Other,0.0,1
user don't want the order anymore,LIVE CHAT,Market Place,MX,Other,0.0,1
user request order status or delay information,LIVE CHAT,Full Service,CO,Other,0.0,1
inedible order,LIVE CHAT,Food,MX,Other,0.0,1
User disagrees with cancellation charge/debt,LIVE CHAT,Food,MX,Me engañaron no me regresaron el dinero cuando el.error fue suyo mentirosos ladrones,0.0,1
driver or store request to cancel order,LIVE CHAT,Food,MX,Other,0.0,1
user request order status or delay information,LIVE CHAT,Food,MX,Other,0.0,1
refund status and conditions,LIVE CHAT,Food,MX,Other,0.0,1
user request order status or delay information,LIVE CHAT,Market Place,MX,Other,0.0,1
user request order status or delay information,LIVE CHAT,Full Service,CO,Other,0.0,1
User disagrees with cancellation charge/debt,LIVE CHAT,Food,MX,Other,0.0,1
user request order status or delay information,LIVE CHAT,Food,MX,Other,0.0,1
user request order status or delay information,PHONE,Full Service,CO,Other,0.0,1
user request order status or delay information,LIVE CHAT,Full Service,CO,Other,0.0,1
user don't want the order anymore,LIVE CHAT,Full Service,CO,Other,0.0,1
inedible order,LIVE CHAT,Full Service,CO,Other,0.0,1
user request order status or delay information,LIVE CHAT,Full Service,CO,Other,0.0,1
user request order status or delay information,LIVE CHAT,Full Service,CO,Other,0.0,1
user request order status or delay information,LIVE CHAT,Food,MX,Other,0.0,1
user don't want the order anymore,PHONE,Full Service,CO,Other,0.0,1
inedible order,LIVE CHAT,Full Service,CO,Other,0.0,1
